ID kategorii;Active (0/1);Nazwa;Nazwa nadrzędnej;Root category (0/1);Opis;Meta title;Meta keywords;Meta description;przyjazny URL;URL obrazka
15;1;Jeansy;Mężczyźni;0;;;;;jeansy;
16;1;Spodnie;Mężczyźni;0;;;;;spodnie;
17;1;Garnitury;Mężczyźni;0;;;;;garnitury;
18;1;Odzież sportowa;Mężczyźni;0;;;;;sportowa;
19;1;Koszulki;Kobiety;0;;;;;koszulki;
20;1;Kurtki;Kobiety;0;;;;;kurtki;
21;1;Bluzki i koszule;Kobiety;0;;;;;bluzkikoszule;
22;1;Swetry;Kobiety;0;;;;;swetry;
23;1;Jeansy;Kobiety;0;;;;;jeansy;
24;1;Spodnie;Kobiety;0;;;;;spodnie;
25;1;Sukienki;Kobiety;0;;;;;sukienki;
26;1;Spódniczki;Kobiety;0;;;;;spodniczki;
27;1;Odzież sportowa;Kobiety;0;;;;;sportowa;
